date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:17	12218/12218	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:45%20GMT	https://biotoxnutrition.com/assets/images/video-paused.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/video-paused.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:17	37727/37727	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Sep%202020%2008:39:33%20GMT	https://biotoxnutrition.com/assets/images/bg--guarantee.jpg	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bg--guarantee.jpg	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:17	5900/5900	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Sep%202020%2008:39:33%20GMT	https://biotoxnutrition.com/assets/images/bg--shape.jpg	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bg--shape.jpg	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:17	2034/2034	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:31%20GMT	https://biotoxnutrition.com/assets/images/about.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/about.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:17	52121/52121	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:33%20GMT	https://biotoxnutrition.com/assets/images/bg-leafs.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bg-leafs.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:17	47914/47914	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Sep%202020%2008:39:33%20GMT	https://biotoxnutrition.com/assets/images/bg--lady.jpg	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bg--lady.jpg	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:18	10762/10762	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:41%20GMT	https://biotoxnutrition.com/assets/images/leaf-left.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/leaf-left.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:18	10945/10945	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:41%20GMT	https://biotoxnutrition.com/assets/images/leaf-right.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/leaf-right.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:18	316/316	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:38%20GMT	https://biotoxnutrition.com/assets/images/flask.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/flask.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:18	430/430	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:42%20GMT	https://biotoxnutrition.com/assets/images/link.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/link.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:19	10921/10921	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:31%20GMT	https://biotoxnutrition.com/assets/images/60-day-money-back-guarantee.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/60-day-money-back-guarantee.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:19	1520/1520	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:43%20GMT	https://biotoxnutrition.com/assets/images/quote.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/quote.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
16:46:19	4935/4935	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:45%20GMT	https://biotoxnutrition.com/assets/images/testimonial-after.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/testimonial-after.png	(from https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6)
